Opp ID,Opp Name,Type,Stage,Product Flag,CRM Region,Close Date,Start Date,Created Date,Qualified Date,Net New ACV (USD),Opp Owner,Account Owner,Week Start,Days from Qualified,Type,Reporting Region,Reporting Manager,Deal Type
13616,Opp - 13616 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,130,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13622,Opp - 13622 - Upsell,Upsell,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2025,04/11/2025,129,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13623,Opp - 13623 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,288,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13629,Opp - 13629 - Upsell,Upsell,Closed Won,Core,AMER,04/03/2025,04/03/2025,04/04/2025,04/04/2025,130,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13632,Opp - 13632 - Upsell,Upsell,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2025,04/02/2025,259,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13635,Opp - 13635 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,270,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13637,Opp - 13637 - Upsell,Upsell,Closed Won,Core,AMER,04/11/2025,04/11/2025,04/12/2025,04/12/2025,116,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13638,Opp - 13638 - Net New,Net New,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/08/2025,04/08/2025,1080,Rep 104,Rep 104,04/06/2025,1,Run-Rate,AMER,Tom Felton,Channel
13639,Opp - 13639 - Upsell,Upsell,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2025,04/03/2025,130,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13643,Opp - 13643 - Upsell,Upsell,Closed Won,Core,AMER,04/04/2025,04/04/2025,04/05/2025,04/05/2025,259,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13646,Opp - 13646 - Upsell,Upsell,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2025,04/10/2025,156,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13656,Opp - 13656 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,156,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13658,Opp - 13658 - Upsell,Upsell,Closed Won,Core,AMER,04/04/2025,04/04/2025,04/05/2025,04/05/2025,117,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,0,Run-Rate,AMER,Tom Felton,Channel
13663,Opp - 13663 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,207,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13664,Opp - 13664 - Upsell,Upsell,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2025,04/09/2025,130,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13673,Opp - 13673 - Upsell,Upsell,Closed Won,Core,AMER,04/11/2025,04/05/2025,04/01/2025,04/01/2025,334,Rep 111,Rep 111,04/06/2025,10,Non-Run Rate,AMER,Tom Felton,Channel
13676,Opp - 13676 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,749,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13677,Opp - 13677 - Upsell,Upsell,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2025,04/08/2025,144,Rep 105,Rep 105,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13682,Opp - 13682 - Renewal,Renewal,Closed Won,Core,AMER,04/06/2025,04/06/2025,03/06/2025,04/07/2025,166,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,31,Non-Run Rate,AMER,Tom Felton,Channel
13684,Opp - 13684 - Renewal,Renewal,Closed Won,Core,AMER,04/05/2025,04/05/2025,03/06/2025,04/05/2025,252,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,30,Non-Run Rate,AMER,Tom Felton,Channel
13688,Opp - 13688 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2024,04/10/2025,265,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13689,Opp - 13689 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/10/2025,04/10/2025,38,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,0,Run-Rate,AMER,Tom Felton,Channel
13692,Opp - 13692 - Renewal,Renewal,Closed Won,Core,AMER,04/12/2025,04/12/2025,3/14/2025,04/12/2025,76,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,29,Non-Run Rate,AMER,Tom Felton,Channel
13695,Opp - 13695 - Renewal,Renewal,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2024,04/08/2025,202,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13697,Opp - 13697 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2024,04/10/2025,14,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13702,Opp - 13702 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,03/04/2025,04/01/2025,166,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,28,Non-Run Rate,AMER,Tom Felton,Channel
13709,Opp - 13709 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2024,04/10/2025,544,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13712,Opp - 13712 - Renewal,Renewal,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2024,04/09/2025,60,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13721,Opp - 13721 - Renewal,Renewal,Closed Won,Core,AMER,04/12/2025,04/12/2025,4/17/2024,04/11/2025,153,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,360,Non-Run Rate,AMER,Tom Felton,Channel
13732,Opp - 13732 - Renewal,Renewal,Closed Won,Core,AMER,04/03/2025,04/03/2025,03/04/2025,04/03/2025,0,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,30,Non-Run Rate,AMER,Tom Felton,Channel
13733,Opp - 13733 - Renewal,Renewal,Closed Won,Core,AMER,04/05/2025,04/05/2025,03/06/2025,04/05/2025,0,Rep 110,Rep 110,3/30/2025,30,Non-Run Rate,AMER,Tom Felton,Channel
13736,Opp - 13736 - Renewal,Renewal,Closed Won,Core,AMER,04/02/2025,04/02/2025,03/04/2025,04/02/2025,0,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,29,Non-Run Rate,AMER,Tom Felton,Channel
13737,Opp - 13737 - Renewal,Renewal,Closed Won,Core,AMER,04/07/2025,4/24/2025,9/23/2024,04/07/2025,2600,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,196,Non-Run Rate,AMER,Tom Felton,Channel
13738,Opp - 13738 - Renewal,Renewal,Closed Won,Core,AMER,04/11/2025,04/11/2025,04/12/2024,04/04/2025,50,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13749,Opp - 13749 - Renewal,Renewal,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/03/2024,04/02/2025,99,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13750,Opp - 13750 - Renewal,Renewal,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2024,04/08/2025,605,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13753,Opp - 13753 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2024,04/10/2025,50,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13761,Opp - 13761 - Renewal,Renewal,Closed Won,Core,AMER,3/28/2025,04/07/2025,4/15/2024,3/28/2025,1050,NOT ASSIGNED,NOT ASSIGNED,3/23/2025,347,Non-Run Rate,AMER,Tom Felton,Channel
13762,Opp - 13762 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,04/11/2024,04/10/2025,161,Rep 110,Rep 110,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13770,Opp - 13770 - Renewal,Renewal,Closed Won,Core,AMER,04/06/2025,04/06/2025,03/06/2025,04/07/2025,0,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,31,Non-Run Rate,AMER,Tom Felton,Channel
13771,Opp - 13771 - Renewal,Renewal,Closed Won,Core,AMER,04/02/2025,04/02/2025,03/04/2025,04/02/2025,156,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,29,Non-Run Rate,AMER,Tom Felton,Channel
13773,Opp - 13773 - Renewal,Renewal,Closed Won,Core,AMER,04/12/2025,04/12/2025,3/14/2025,04/12/2025,0,Rep 105,Rep 105,04/06/2025,29,Non-Run Rate,AMER,Tom Felton,Channel
13775,Opp - 13775 - Renewal,Renewal,Closed Won,Core,AMER,04/02/2025,04/02/2025,03/04/2025,04/02/2025,950,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,29,Non-Run Rate,AMER,Tom Felton,Channel
13777,Opp - 13777 - Renewal,Renewal,Closed Won,Core,AMER,04/11/2025,04/11/2025,03/11/2025,04/11/2025,0,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,31,Non-Run Rate,AMER,Tom Felton,Channel
13779,Opp - 13779 - Renewal,Renewal,Closed Won,Sign,AMER,04/09/2025,04/07/2025,04/07/2024,9/27/2024,665,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,367,Non-Run Rate,AMER,Tom Felton,Channel
13784,Opp - 13784 - Renewal,Renewal,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2024,04/08/2025,101,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13797,Opp - 13797 - Renewal,Renewal,Closed Won,Core,AMER,2/19/2025,04/04/2025,3/29/2024,2/19/2025,630,NOT ASSIGNED,NOT ASSIGNED,2/16/2025,327,Non-Run Rate,AMER,Tom Felton,Channel
13798,Opp - 13798 - Renewal,Renewal,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2024,04/08/2025,50,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13800,Opp - 13800 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,162,Rep 1346,Rep 1346,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13809,Opp - 13809 - Renewal,Renewal,Closed Won,Core,AMER,04/03/2025,04/03/2025,04/04/2024,04/03/2025,60,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13814,Opp - 13814 - Renewal,Renewal,Closed Won,Core,AMER,04/02/2025,04/02/2025,04/05/2024,04/01/2025,151,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,362,Non-Run Rate,AMER,Tom Felton,Channel
13826,Opp - 13826 - Renewal,Renewal,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2024,04/08/2025,630,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13828,Opp - 13828 - Renewal,Renewal,Closed Won,Core,AMER,04/07/2025,04/07/2025,03/08/2025,04/08/2025,1058,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,30,Non-Run Rate,AMER,Tom Felton,Channel
13832,Opp - 13832 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,423,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13836,Opp - 13836 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,60,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13839,Opp - 13839 - Renewal,Renewal,Closed Won,Core,AMER,04/12/2025,04/12/2025,4/15/2024,04/12/2025,38,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,362,Non-Run Rate,AMER,Tom Felton,Channel
13842,Opp - 13842 - Renewal,Renewal,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2024,04/09/2025,378,Rep 102,Rep 102,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13846,Opp - 13846 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,50,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13847,Opp - 13847 - Renewal,Renewal,Closed Won,Core,AMER,04/06/2025,04/06/2025,04/07/2024,04/07/2025,63,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13849,Opp - 13849 - Renewal,Renewal,Closed Won,Core,AMER,04/06/2025,04/06/2025,04/07/2024,04/07/2025,444,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13850,Opp - 13850 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,139,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13851,Opp - 13851 - Renewal,Renewal,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2024,04/09/2025,63,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13855,Opp - 13855 - Renewal,Renewal,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2024,04/09/2025,403,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13858,Opp - 13858 - Renewal,Renewal,Closed Won,Core,AMER,2/25/2025,6/28/2025,11/26/2024,2/25/2025,207,NOT ASSIGNED,NOT ASSIGNED,2/23/2025,91,Non-Run Rate,AMER,Tom Felton,Channel
13862,Opp - 13862 - Renewal,Renewal,Closed Won,Core,AMER,04/05/2025,04/05/2025,03/06/2025,04/05/2025,0,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,30,Non-Run Rate,AMER,Tom Felton,Channel
13863,Opp - 13863 - Renewal,Renewal,Closed Won,Core,AMER,04/08/2025,04/08/2025,03/08/2025,04/08/2025,0,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,31,Non-Run Rate,AMER,Tom Felton,Channel
13869,Opp - 13869 - Renewal,Renewal,Closed Won,Core,AMER,04/07/2025,04/07/2025,04/08/2024,04/08/2025,176,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13873,Opp - 13873 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,564,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13878,Opp - 13878 - Renewal,Renewal,Closed Won,Core,AMER,04/08/2025,04/08/2025,04/09/2024,04/08/2025,38,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13890,Opp - 13890 - Renewal,Renewal,Closed Won,Core,AMER,04/09/2025,04/09/2025,04/10/2024,04/09/2025,113,NOT ASSIGNED,NOT ASSIGNED,04/06/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13897,Opp - 13897 - Renewal,Renewal,Closed Won,Core,AMER,04/10/2025,04/10/2025,03/10/2025,04/10/2025,0,Rep 110,Rep 110,04/06/2025,31,Non-Run Rate,AMER,Tom Felton,Channel
13899,Opp - 13899 - Renewal,Renewal,Closed Won,Core,AMER,04/04/2025,04/04/2025,04/05/2024,04/04/2025,81,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
13901,Opp - 13901 - Renewal,Renewal,Closed Won,Core,AMER,04/01/2025,04/01/2025,04/02/2024,04/01/2025,239,NOT ASSIGNED,NOT ASSIGNED,3/30/2025,364,Non-Run Rate,AMER,Tom Felton,Channel
