opp_id,opp_name,opp_type,stage,product_flag,crm_region,close_date,start_date,created_date,qualified_date,net_new_acv_usd,opp_owner,account_owner,week_start,days_from_qualified,type,reporting_region,reporting_manager,deal_type,dq_flag,outcome,dq_check
13508,Opp - 13508 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,3490,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13509,Opp - 13509 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,1117,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13510,Opp - 13510 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,977,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13511,Opp - 13511 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,140,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13512,Opp - 13512 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,140,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13514,Opp - 13514 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,156,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13517,Opp - 13517 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-04-03,2025-04-03,130,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13523,Opp - 13523 - Net New,Net New,Closed Won,Core,AMER,2025-04-12,2025-04-12,2025-04-12,2025-04-12,518,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13530,Opp - 13530 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,156,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13531,Opp - 13531 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,155,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13532,Opp - 13532 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,252,Rep 110,Rep 110,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13534,Opp - 13534 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-04-03,2025-04-03,518,Rep 111,Rep 111,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13540,Opp - 13540 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-03,2025-04-03,2025-04-04,2025-04-04,819,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13541,Opp - 13541 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,117,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13543,Opp - 13543 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-03,2025-04-03,2025-04-04,2025-04-04,1555,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13549,Opp - 13549 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,130,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13555,Opp - 13555 - Net New,Net New,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-10,2025-04-10,351,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13558,Opp - 13558 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,144,Rep 1346,Rep 1346,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13566,Opp - 13566 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,173,Rep 1346,Rep 1346,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13567,Opp - 13567 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,259,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13573,Opp - 13573 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,117,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13578,Opp - 13578 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-04,2025-04-04,2025-04-05,2025-04-05,260,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13580,Opp - 13580 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,156,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13581,Opp - 13581 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,207,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13583,Opp - 13583 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,129,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13591,Opp - 13591 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,288,Rep 105,Rep 105,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13592,Opp - 13592 - Net New,Net New,Closed Won,Sign,AMER,2025-03-31,2025-04-01,2025-03-28,2025-03-28,10148,Rep 110,Rep 110,2025-03-30,3,Non-Run Rate,AMER,Tom Felton,Channel,,Net New,Pass
13593,Opp - 13593 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-04-03,2025-04-03,10783,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Non-Run Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13596,Opp - 13596 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,155,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13615,Opp - 13615 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,389,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13616,Opp - 13616 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,130,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13622,Opp - 13622 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-11,2025-04-11,129,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13623,Opp - 13623 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,288,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13629,Opp - 13629 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-03,2025-04-03,2025-04-04,2025-04-04,130,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13632,Opp - 13632 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-04-02,2025-04-02,259,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13635,Opp - 13635 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,270,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13637,Opp - 13637 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-11,2025-04-11,2025-04-12,2025-04-12,116,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13638,Opp - 13638 - Net New,Net New,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-08,2025-04-08,1080,Rep 104,Rep 104,2025-04-06,1,Run-Rate,AMER,Tom Felton,Channel,,Net New,Pass
13639,Opp - 13639 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-04-03,2025-04-03,130,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13643,Opp - 13643 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-04,2025-04-04,2025-04-05,2025-04-05,259,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13646,Opp - 13646 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-09,2025-04-09,2025-04-10,2025-04-10,156,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13656,Opp - 13656 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,156,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13658,Opp - 13658 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-04,2025-04-04,2025-04-05,2025-04-05,117,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13663,Opp - 13663 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,207,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13664,Opp - 13664 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-08,2025-04-08,2025-04-09,2025-04-09,130,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13673,Opp - 13673 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-11,2025-04-05,2025-04-01,2025-04-01,334,Rep 111,Rep 111,2025-04-06,10,Non-Run Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13676,Opp - 13676 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,749,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13677,Opp - 13677 - Upsell,Upsell,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-04-08,2025-04-08,144,Rep 105,Rep 105,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Upsell,Pass
13682,Opp - 13682 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-06,2025-04-06,2025-03-06,2025-04-07,166,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,31,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13684,Opp - 13684 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-05,2025-04-05,2025-03-06,2025-04-05,252,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,30,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13688,Opp - 13688 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2024-04-11,2025-04-10,265,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13689,Opp - 13689 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2025-04-10,2025-04-10,38,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,0,Run-Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13692,Opp - 13692 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-12,2025-04-12,2025-03-14,2025-04-12,76,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,29,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13695,Opp - 13695 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-08,2025-04-08,2024-04-09,2025-04-08,202,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13697,Opp - 13697 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2024-04-11,2025-04-10,14,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13702,Opp - 13702 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2025-03-04,2025-04-01,166,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,28,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13709,Opp - 13709 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2024-04-11,2025-04-10,544,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13712,Opp - 13712 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-09,2025-04-09,2024-04-10,2025-04-09,60,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13721,Opp - 13721 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-12,2025-04-12,2024-04-17,2025-04-11,153,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,360,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13732,Opp - 13732 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-03,2025-04-03,2025-03-04,2025-04-03,0,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,30,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13733,Opp - 13733 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-05,2025-04-05,2025-03-06,2025-04-05,0,Rep 110,Rep 110,2025-03-30,30,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13736,Opp - 13736 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-03-04,2025-04-02,0,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,29,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13737,Opp - 13737 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-07,2025-04-24,2024-09-23,2025-04-07,2600,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,196,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13738,Opp - 13738 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-11,2025-04-11,2024-04-12,2025-04-04,50,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13749,Opp - 13749 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-02,2025-04-02,2024-04-03,2025-04-02,99,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13750,Opp - 13750 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-07,2025-04-07,2024-04-08,2025-04-08,605,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13753,Opp - 13753 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2024-04-11,2025-04-10,50,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13761,Opp - 13761 - Renewal,Renewal,Closed Won,Core,AMER,2025-03-28,2025-04-07,2024-04-15,2025-03-28,1050,NOT ASSIGNED,NOT ASSIGNED,2025-03-23,347,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13762,Opp - 13762 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-10,2025-04-10,2024-04-11,2025-04-10,161,Rep 110,Rep 110,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13770,Opp - 13770 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-06,2025-04-06,2025-03-06,2025-04-07,0,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,31,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13771,Opp - 13771 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-03-04,2025-04-02,156,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,29,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13773,Opp - 13773 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-12,2025-04-12,2025-03-14,2025-04-12,0,Rep 105,Rep 105,2025-04-06,29,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13775,Opp - 13775 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-02,2025-04-02,2025-03-04,2025-04-02,950,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,29,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13777,Opp - 13777 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-11,2025-04-11,2025-03-11,2025-04-11,0,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,31,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13779,Opp - 13779 - Renewal,Renewal,Closed Won,Sign,AMER,2025-04-09,2025-04-07,2024-04-07,2024-09-27,665,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,367,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13784,Opp - 13784 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-07,2025-04-07,2024-04-08,2025-04-08,101,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13797,Opp - 13797 - Renewal,Renewal,Closed Won,Core,AMER,2025-02-19,2025-04-04,2024-03-29,2025-02-19,630,NOT ASSIGNED,NOT ASSIGNED,2025-02-16,327,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13798,Opp - 13798 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-08,2025-04-08,2024-04-09,2025-04-08,50,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13800,Opp - 13800 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2024-04-02,2025-04-01,162,Rep 1346,Rep 1346,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13809,Opp - 13809 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-03,2025-04-03,2024-04-04,2025-04-03,60,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13814,Opp - 13814 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-02,2025-04-02,2024-04-05,2025-04-01,151,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,362,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13826,Opp - 13826 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-08,2025-04-08,2024-04-09,2025-04-08,630,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13828,Opp - 13828 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-07,2025-04-07,2025-03-08,2025-04-08,1058,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,30,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13832,Opp - 13832 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2024-04-02,2025-04-01,423,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13836,Opp - 13836 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2024-04-02,2025-04-01,60,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13839,Opp - 13839 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-12,2025-04-12,2024-04-15,2025-04-12,38,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,362,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13842,Opp - 13842 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-09,2025-04-09,2024-04-10,2025-04-09,378,Rep 102,Rep 102,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13846,Opp - 13846 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2024-04-02,2025-04-01,50,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13847,Opp - 13847 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-06,2025-04-06,2024-04-07,2025-04-07,63,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13849,Opp - 13849 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-06,2025-04-06,2024-04-07,2025-04-07,444,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13850,Opp - 13850 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-01,2025-04-01,2024-04-02,2025-04-01,139,NOT ASSIGNED,NOT ASSIGNED,2025-03-30,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13851,Opp - 13851 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-09,2025-04-09,2024-04-10,2025-04-09,63,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13855,Opp - 13855 - Renewal,Renewal,Closed Won,Core,AMER,2025-04-09,2025-04-09,2024-04-10,2025-04-09,403,NOT ASSIGNED,NOT ASSIGNED,2025-04-06,364,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
13858,Opp - 13858 - Renewal,Renewal,Closed Won,Core,AMER,2025-02-25,2025-06-28,2024-11-26,2025-02-25,207,NOT ASSIGNED,NOT ASSIGNED,2025-02-23,91,Non-Run Rate,AMER,Tom Felton,Channel,,Renewal,Pass
